   n, x, y, z
   0, 0, 0, 0
   1, 0, 0, 1
   8, 0, 0, 2
  27, 0, 0, 3
  64, 0, 0, 4
 125, 0, 0, 5
 216, 0, 0, 6
 343, 0, 0, 7
 512, 0, 0, 8
 729, 0, 0, 9
1000, 0, 0, 10
1331, 0, 0, 11
1728, 0, 0, 12
2197, 0, 0, 13
2744, 0, 0, 14
3375, 0, 0, 15
4096, 0, 0, 16
4913, 0, 0, 17
5832, 0, 0, 18
6859, 0, 0, 19
8000, 0, 0, 20
9261, 0, 0, 21
10648, 0, 0, 22
12167, 0, 0, 23
13824, 0, 0, 24
15625, 0, 0, 25
17576, 0, 0, 26
19683, 0, 0, 27
21952, 0, 0, 28
24389, 0, 0, 29
27000, 0, 0, 30
29791, 0, 0, 31
32768, 0, 0, 32
35937, 0, 0, 33
39304, 0, 0, 34
42875, 0, 0, 35
46656, 0, 0, 36
50653, 0, 0, 37
54872, 0, 0, 38
59319, 0, 0, 39
64000, 0, 0, 40
68921, 0, 0, 41
74088, 0, 0, 42
79507, 0, 0, 43
85184, 0, 0, 44
91125, 0, 0, 45
97336, 0, 0, 46
   2, 0, 1, 1
   9, 0, 1, 2
  28, 0, 1, 3
  65, 0, 1, 4
 126, 0, 1, 5
 217, 0, 1, 6
 344, 0, 1, 7
 513, 0, 1, 8
 730, 0, 1, 9
1001, 0, 1, 10
1332, 0, 1, 11
1729, 0, 1, 12
2198, 0, 1, 13
2745, 0, 1, 14
3376, 0, 1, 15
4097, 0, 1, 16
4914, 0, 1, 17
5833, 0, 1, 18
6860, 0, 1, 19
8001, 0, 1, 20
9262, 0, 1, 21
10649, 0, 1, 22
12168, 0, 1, 23
13825, 0, 1, 24
15626, 0, 1, 25
17577, 0, 1, 26
19684, 0, 1, 27
21953, 0, 1, 28
24390, 0, 1, 29
27001, 0, 1, 30
29792, 0, 1, 31
32769, 0, 1, 32
35938, 0, 1, 33
39305, 0, 1, 34
42876, 0, 1, 35
46657, 0, 1, 36
50654, 0, 1, 37
54873, 0, 1, 38
59320, 0, 1, 39
64001, 0, 1, 40
68922, 0, 1, 41
74089, 0, 1, 42
79508, 0, 1, 43
85185, 0, 1, 44
91126, 0, 1, 45
97337, 0, 1, 46
  16, 0, 2, 2
  35, 0, 2, 3
  72, 0, 2, 4
 133, 0, 2, 5
 224, 0, 2, 6
 351, 0, 2, 7
 520, 0, 2, 8
 737, 0, 2, 9
1008, 0, 2, 10
1339, 0, 2, 11
1736, 0, 2, 12
2205, 0, 2, 13
2752, 0, 2, 14
3383, 0, 2, 15
4104, 0, 2, 16
4921, 0, 2, 17
5840, 0, 2, 18
6867, 0, 2, 19
8008, 0, 2, 20
9269, 0, 2, 21
10656, 0, 2, 22
12175, 0, 2, 23
13832, 0, 2, 24
15633, 0, 2, 25
17584, 0, 2, 26
19691, 0, 2, 27
21960, 0, 2, 28
24397, 0, 2, 29
27008, 0, 2, 30
29799, 0, 2, 31
32776, 0, 2, 32
35945, 0, 2, 33
39312, 0, 2, 34
42883, 0, 2, 35
46664, 0, 2, 36
50661, 0, 2, 37
54880, 0, 2, 38
59327, 0, 2, 39
64008, 0, 2, 40
68929, 0, 2, 41
74096, 0, 2, 42
79515, 0, 2, 43
85192, 0, 2, 44
91133, 0, 2, 45
97344, 0, 2, 46
  54, 0, 3, 3
  91, 0, 3, 4
 152, 0, 3, 5
 243, 0, 3, 6
 370, 0, 3, 7
 539, 0, 3, 8
 756, 0, 3, 9
1027, 0, 3, 10
1358, 0, 3, 11
1755, 0, 3, 12
2224, 0, 3, 13
2771, 0, 3, 14
3402, 0, 3, 15
4123, 0, 3, 16
4940, 0, 3, 17
5859, 0, 3, 18
6886, 0, 3, 19
8027, 0, 3, 20
9288, 0, 3, 21
10675, 0, 3, 22
12194, 0, 3, 23
