   n, x, y, z
    0, 0, 0, 0
    1, 0, 0, 1
    2, 0, 1, 1
    3, 1, 1, 1
    4, , , 
    5, , , 
    6, -1, -1, 2
    7, -1, 0, 2
    8, 0, 0, 2
    9, 0, 1, 2
   10, 1, 1, 2
   11, -2, -2, 3
   12, -11, 7, 10
   13, , , 
   14, , , 
   15, -1, 2, 2
   16, 0, 2, 2
   17, 1, 2, 2
   18, -2, -1, 3
   19, -2, 0, 3
   20, -2, 1, 3
   21, -14, -11, 16
   22, , , 
   23, , , 
   24, 2, 2, 2
   25, -1, -1, 3
   26, -1, 0, 3
   27, 0, 0, 3
   28, 0, 1, 3
   29, 1, 1, 3
   31, , , 
   32, , , 
   34, -1, 2, 3
   35, 0, 2, 3
   36, 1, 2, 3
   37, -3, 0, 4
   38, -3, 1, 4
   40, , , 
   41, , , 
   43, 2, 2, 3
   44, -7, -5, 8
   45, -3, 2, 4
   46, -2, 3, 3
   47, -8, 6, 7
   48, -2, -2, 4
   49, , , 
   50, , , 
   51, -796, 602, 659
   53, -1, 3, 3
   54, 0, 3, 3
   55, 1, 3, 3
   56, -2, 0, 4
   57, -2, 1, 4
   58, , , 
   59, , , 
   60, -4, -1, 5
   61, -4, 0, 5
   62, 2, 3, 3
   63, -1, 0, 4
   64, 0, 0, 4
   65, 0, 1, 4
   66, 1, 1, 4
   67, , , 
   68, , , 
   69, -4, 2, 5
   70, -21, 11, 20
   71, -1, 2, 4
   72, 0, 2, 4
   73, 1, 2, 4
   76, , , 
   77, , , 
   78, -55, 26, 53
   79, -33, -19, 35
   80, 2, 2, 4
   81, 3, 3, 3
   82, -11, -11, 14
   83, -2, 3, 4
   85, , , 
   86, , , 
   87, -4126, -1972, 4271
   88, -4, 3, 5
   89, -7, 6, 6
   90, -1, 3, 4
   91, 0, 3, 4
   92, 1, 3, 4
   93, -5, -5, 7
   94, , , 
   95, , , 
   96, -22, 14, 20
   97, -3, -1, 5
   98, -3, 0, 5
   99, 2, 3, 4
  100, -6, -3, 7
  101, -3, 4, 4
  102, -239, 118, 229
  103, , , 
  104, , , 
  105, -7, -4, 8
  106, -3, 2, 5
  107, -48, -28, 51
  108, -1165, -948, 1345
  109, -2, -2, 5
  111, -881, -296, 892
  112, , , 
  113, , , 
  115, -10, -6, 11
  116, -2, -1, 5
  117, -2, 0, 5
  118, 3, 3, 4
  119, -6, -2, 7
  120, -2, 4, 4
  121, , , 
  122, , , 
  123, -1, -1, 5
  124, -1, 0, 5
  125, 0, 0, 5
  126, 0, 1, 5
  127, 1, 1, 5
  128, 0, 4, 4
  129, 1, 4, 4
  130, , , 
  131, , , 
  132, -1, 2, 5
  133, 0, 2, 5
  134, 1, 2, 5
  135, -6, 2, 7
  136, 2, 4, 4
  137, -11, -9, 13
  138, -86, -77, 103
  139, , , 
  140, , , 
  141, 2, 2, 5
  142, -7, -3, 8
  143, -84958, 7023, 84942
  144, -2, 3, 5
  145, -8, -7, 10
  146, -9, -5, 10
  147, -56, -50, 67
  148, , , 
  149, , , 
  150, -367, 260, 317
  151, -1, 3, 5
  152, 0, 3, 5
  153, 1, 3, 5
  154, -6, 3, 7
  155, 3, 4, 4
  157, , , 
  158, , , 
  159, -130, 80, 119
  160, 2, 3, 5
  161, -7, -2, 8
  162, -3, 4, 5
  163, -26, -21, 30
  164, -47, -45, 58
  166, , , 
  167, , , 
  168, -7, -1, 8
  169, -7, 0, 8
  170, -7, 1, 8
  171, -6, -5, 8
  172, -20357, 15161, 17044
  173, -30569, -14543, 31629
  174, -8, 7, 7
  175, , , 
  176, , , 
  177, -7, 2, 8
  178, -13, -10, 15
  179, 3, 3, 5
  181, -2, 4, 5
  182, -14, 9, 13
  183, -17, 10, 16
  184, , , 
  185, , , 
  186, -4, 5, 5
  187, -58, 27, 56
  188, -1, 4, 5
