# List of solutions for: n = x³ + y³ + z³  with n=[0..10000] and negative z
1 = 2³ + 1³ - 2³
8 = 3³ + 2³ - 3³
27 = 4³ + 3³ - 4³
64 = 5³ + 4³ - 5³
125 = 6³ + 5³ - 6³
216 = 7³ + 6³ - 7³
343 = 8³ + 7³ - 8³
512 = 9³ + 8³ - 9³
729 = 10³ + 9³ - 10³
1000 = 11³ + 10³ - 11³
1331 = 12³ + 11³ - 12³
1728 = 13³ + 12³ - 13³
2197 = 14³ + 13³ - 14³
2744 = 15³ + 14³ - 15³
3375 = 16³ + 15³ - 16³
4096 = 17³ + 16³ - 17³
4913 = 18³ + 17³ - 18³
5832 = 19³ + 18³ - 19³
6859 = 20³ + 19³ - 20³
8000 = 21³ + 20³ - 21³
9261 = 22³ + 21³ - 22³
8991 = 23³ + 22³ - 24³
8847 = 24³ + 22³ - 25³
8415 = 24³ + 23³ - 26³
8697 = 25³ + 22³ - 26³
8109 = 25³ + 23³ - 27³
9766 = 25³ + 24³ - 27³
8541 = 26³ + 22³ - 27³
7791 = 26³ + 23³ - 28³
9448 = 26³ + 24³ - 28³
8812 = 26³ + 25³ - 29³
8379 = 27³ + 22³ - 28³
9898 = 27³ + 23³ - 28³
9118 = 27³ + 24³ - 29³
8308 = 27³ + 25³ - 30³
7468 = 27³ + 26³ - 31³
8211 = 28³ + 22³ - 29³
9730 = 28³ + 23³ - 29³
8776 = 28³ + 24³ - 30³
7786 = 28³ + 25³ - 31³
9737 = 28³ + 26³ - 31³
8867 = 28³ + 27³ - 32³
8037 = 29³ + 22³ - 30³
9556 = 29³ + 23³ - 30³
8422 = 29³ + 24³ - 31³
7246 = 29³ + 25³ - 32³
9197 = 29³ + 26³ - 32³
8135 = 29³ + 27³ - 33³
7037 = 29³ + 28³ - 34³
7857 = 30³ + 22³ - 31³
9376 = 30³ + 23³ - 31³
8056 = 30³ + 24³ - 32³
9857 = 30³ + 25³ - 32³
8639 = 30³ + 26³ - 33³
7379 = 30³ + 27³ - 34³
9648 = 30³ + 28³ - 34³
8514 = 30³ + 29³ - 35³
7671 = 31³ + 22³ - 32³
9190 = 31³ + 23³ - 32³
7678 = 31³ + 24³ - 33³
9479 = 31³ + 25³ - 33³
8063 = 31³ + 26³ - 34³
6599 = 31³ + 27³ - 35³
8868 = 31³ + 28³ - 35³
7524 = 31³ + 29³ - 36³
6138 = 31³ + 30³ - 37³
7479 = 32³ + 22³ - 33³
8998 = 32³ + 23³ - 33³
7288 = 32³ + 24³ - 34³
